,recipe_name,serving_size,cooking_time,difficulty,ingredients,recipe_url
10,Mushroom stroganoff,serves 2,20 mins,3,"['400g mixed mushrooms', '1 red onion', '2 cloves of garlic', '4 silverskin pickled onions', '2 cornichons', '4 sprigs of fresh flat-leaf parsley', 'olive oil', '1 tablespoon baby capers', '50ml whisky', 'smoked paprika', '80g half-fat crème fraîche']",https://www.jamieoliver.com/recipes/mushroom/mushroom-stroganoff/
11,Vegan falafel fritters,serves 6,50 mins,3,"['150g frozen peas, broad beans, or edamame beans', '1 heaped tablespoon self-raising flour', '1 preserved lemon', '¼ teaspoon cumin seeds', '6 flatbreads', 'optional: 60g shelled unsalted pistachios', '100g soya yoghurt', 'hot chilli sauce', '1 pomegranate', 'red wine vinegar', 'extra virgin olive oil', '1 red onion', '1–2 fresh mixed-colour chillies', '1 cucumber', '1–2 mixed-colour carrots', '1 bunch of fresh mint (30g)', '1 x 660g jar of chickpeas', '1 tablespoon unsweetened peanut butter', '½ a clove of garlic', '1 lemon', '½ a bunch of fresh parsley (15g)', 'olive oil', '¼ teaspoon sweet smoked paprika', '1 tablespoon dukkah']",https://www.jamieoliver.com/recipes/vegetables/vegan-falafel-fritters/
12,Ultimate mushroom risotto,serves 4,40 mins,3,"['1 onion', '2 sticks of celery', 'olive oil', '1 bunch of fresh thyme (30g)', '20g dried porcini mushrooms', '350g mixed mushrooms, such as chestnut, button, wild, shiitake', '1.2 litres organic vegetable stock', '300g Arborio risotto rice', '125ml white wine', '40g Parmesan or vegetarian hard cheese', '20g unsalted butter', '30g blanched hazelnuts', '1 lemon', '4 tablespoons natural yoghurt', 'extra virgin olive oil', '100g baby spinach']",https://www.jamieoliver.com/recipes/rice/ultimate-mushroom-risotto/
13,Roasted salmon & artichokes,serves 12,1 hr 25 mins plus resting,3,"['olive oil', '2 x 1kg sides of salmon, skin on, scaled, pin-boned, from sustainable sources', '100g blanched almonds', '2 cloves of garlic', '2 lemons', '100g stale ciabatta', '2 fresh baby Italian artichokes', '1 x 280g jar of artichoke hearts in oil', '1 bunch of fresh mint (30g)', '12 rashers of higher-welfare smoked streaky bacon', '1 bunch of fresh thyme (30g)']",https://www.jamieoliver.com/recipes/salmon/roasted-salmon-artichokes/
14,Craig David's Grenadian baked chicken,serves 4,1 hr 50 mins plus soaking &amp; marinating,3,"['3 onions', '8 cloves of garlic', '5cm piece of ginger', '1–2 Scotch bonnet chillies', '6 pimento (allspice) seeds', '¼ teaspoon ground cloves', '1 whole nutmeg, for grating', '1 organic chicken stock cube', '1 x 1.4kg whole free-range chicken, cut into 8 pieces (ask your butcher)', '1.2kg pumpkin', 'olive oil', 'white pepper', '200g dried kidney beans', '3 cloves of garlic', '8 pimento (allspice) seeds', '100g creamed coconut', '1 green Scotch bonnet chilli', '½ a bunch of fresh thyme (15g)', '3 spring onions', '200g long-grain rice', '1 tablespoon dark brown sugar', '2 tablespoons apple cider vinegar', '1 teaspoon hot pepper sauce', '4 tablespoons tomato ketchup', '½ a bunch of fresh thyme (15g)', '½ a cucumber', '1 Scotch bonnet chilli', '2 fresh bay leaves', '2 tablespoons apple cider vinegar']",https://www.jamieoliver.com/recipes/chicken/craig-david-s-grenadian-baked-chicken/
15,Cracker ravioli,serves 6,3 hrs,5,"['1 butternut squash (1.2kg)', '250g ricotta cheese', '½ teaspoon dried red chilli flakes', '1 whole nutmeg, for grating', 'olive oil', '200g vac-packed chestnuts', '½ a bunch of fresh sage (15g)', '20g Parmesan cheese, plus extra to serve', '1 x Royal pasta dough', '75g baby spinach', 'semolina, for dusting', '100g unsalted butter', '4 clementines', '50g skin-on almonds']",https://www.jamieoliver.com/recipes/pasta/cracker-ravioli/
16,"Liver, bacon & onions",serves 1,15 mins,3,"['½ a red onion', '2 sprigs of fresh sage', '1 slice of sourdough bread (50g)', '1 rasher of smoked higher-welfare streaky bacon', '125g slice of higher-welfare calves’ liver']",https://www.jamieoliver.com/recipes/dinner/liver-bacon-onions/
17,One-pan fabulous fish,serves 4,15 mins,1,"['300g white basmati rice', '6 heaped teaspoons green olive tapenade', '350g ripe mixed-colour cherry tomatoes', '½ a bunch of fresh basil (15g)', '500g white fish fillets, such as haddock, skin off, pin-boned, from sustainable sources']",https://www.jamieoliver.com/recipes/fish/one-pan-fabulous-fish/
18,Hot-smoked salmon pasta,serves 4,12 mins,3,"['350g asparagus', '300g dried taglierini or angel-hair pasta', '250g hot-smoked salmon, skin off, from sustainable sources', '1 lemon', '100ml half-fat crème fraîche']",https://www.jamieoliver.com/recipes/salmon/hot-smoked-salmon-pasta/
19,12-minute spaghettini,serves 2,12 mins,1,"['2 cloves of garlic', '250g mixed-colour ripe cherry tomatoes', '1 handful of black olives (stone in)', 'olive oil', '½ a bunch of fresh basil (15g)', '160g dried spaghettini or taglierini', '20g salted ricotta or feta cheese']",https://www.jamieoliver.com/recipes/pasta/12-minute-spaghettini/
20,Roast duck,serves 6,2 hrs 20 mins,3,"['1 x 2kg whole duck, giblets reserved', '1 red onion', 'olive oil', 'Chinese five-spice powder', '1 clementine', '4 spring onions', '4 small carrots', '½ a cucumber', '1 fresh red chilli', '1 mixed bunch of fresh mint and coriander (30g)', '1 lime', '18 Chinese pancakes', '2 cloves of garlic', '5cm piece of ginger', '200g frozen cranberries', '2 tablespoons low-salt soy sauce', '2 tablespoons rice wine vinegar', '2 tablespoons runny honey', '2 clementines']",https://www.jamieoliver.com/recipes/duck/roast-duck-2/
21,Black bean burgers,serves 2,40 mins,3,"['½ red onion', '1 tablespoon balsamic vinegar', '1 fresh red chilli', '2 spring onions', '1 x 400g tin of black beans', '100g fresh breadcrumbs', '1 lemon', 'extra virgin olive oil', '2 tablespoons natural yoghurt', '80g baby kale', '30g rocket', 'olive oil', '1 ripe beef tomato', '75g mozzarella cheese', '2 wholemeal buns']",https://www.jamieoliver.com/recipes/vegetables/black-bean-burgers/
22,Veggie feijoada,serves 2,35 mins,3,"['100g brown rice', '1 large sweet potato', '1 red onion', '2 cloves of garlic', '1 yellow pepper', '½ a courgette', 'olive oil', '1 teaspoon ground coriander', '1 x 400g tin of black beans', '1 bunch of fresh coriander (15g)', '225g ripe tomatoes', 'extra virgin olive oil', '1 lime', '3 tablespoons fat-free plain yogurt']",https://www.jamieoliver.com/recipes/vegetables/veggie-feijoada/
23,Balsamic lamb shoulder,serves 6,5 hrs 30 mins,3,"['2.5kg higher-welfare lamb shoulder', '4 red onions', '1 bulb of garlic', 'olive oil', '½ a bunch of fresh rosemary (15g)', '1 whole nutmeg, for grating', '200ml balsamic vinegar', '1 bunch of fresh mint (30g)', '1 heaped tablespoon plain flour']",https://www.jamieoliver.com/recipes/lamb/balsamic-lamb-shoulder/
24,Chicken & mushroom stroganoff,serves 2,40 mins,3,"['160g brown rice', '3 sprigs of fresh flat-leaf parsley', '150g chestnut mushrooms', '2 cloves of garlic', '½ a red onion', '1 tablespoon red wine vinegar', '4 higher-welfare skinless, boneless chicken thighs', '½ teaspoon sweet smoked paprika', 'olive oil', '½ a lemon', '100g baby spinach', '100g sour cream']",https://www.jamieoliver.com/recipes/chicken/chicken-mushroom-stroganoff-with-quick-red-onion-pickle/
25,Sticky Asian-style salmon & rice,serves 2,35 mins,3,"['150g brown rice', '160g tenderstem broccoli', '½ a cucumber', '2 tablespoons reduced-salt soy sauce', '2 limes', '2 teaspoons sesame seeds', 'olive oil', '2 x 120g fillets of salmon, scaled and pin-boned, from sustainable sources', '3cm piece of ginger', '2 spring onions', '2 teaspoons runny honey']",https://www.jamieoliver.com/recipes/salmon/sticky-asian-style-salmon-with-broccoli-quick-pickled-cucumber-rice/
26,South Asian chicken curry,serves 2,35 mins,3,"['1 small onion', '2 cloves of garlic', '6cm piece of ginger', 'a few sprigs of fresh coriander', '2 mixed-colour peppers', '100g cherry tomatoes', '2 higher-welfare skinless, boneless chicken thighs', 'vegetable oil', '2 heaped teaspoons curry powder', '½ teaspoon turmeric', '100ml light coconut milk', '100ml organic chicken stock', '160g basmati rice', '1 lime', 'optional: 1 tablespoon mango chutney']",https://www.jamieoliver.com/recipes/chicken/south-asian-chicken-curry/
27,Sicilian fish bake,serves 4,1 hr 15 mins,3,"['2 large aubergines', '1kg ripe mixed-colour tomatoes', '1 red onion', '4 cloves of garlic', '1 celery heart', '1 tablespoon dried oregano', '1 pinch of dried red chilli flakes', '1 heaped teaspoon baby capers', '40g raisins', '40g pine nuts', '4 black olives (stone in)', 'olive oil', '4 x 120g white fish fillets, scaled, pin-boned, from sustainable sources', '1 orange', '250g wholewheat couscous', '40g rocket', '4 tablespoons natural yoghurt']",https://www.jamieoliver.com/recipes/fish/sicilian-fish-bake/
28,Spring chicken stew,serves 4,1 hr 10 mins,3,"['olive oil', '2 rashers of higher-welfare smoked streaky bacon', '2 sprigs of fresh rosemary', '2 onions', '2 carrots', '400g new potatoes', '100g pearl barley', '1 heaped tablespoon plain wholemeal flour', '500ml organic chicken stock', '500ml semi-skimmed milk', '2 courgettes', '1 bunch of asparagus (350g)', '200g green beans', '4 x 120g free-range skinless chicken breasts', '1 tablespoon mint sauce']",https://www.jamieoliver.com/recipes/chicken/spring-chicken-stew/
29,Sweet potato fishcakes,serves 4,1 hr 10 mins,3,"['500g potatoes', '500g sweet potatoes', '2 red peppers', 'extra virgin olive oil', '2 teaspoons chipotle Tabasco sauce', '500g white fish fillets from sustainable sources, skin off, pin-boned', 'olive oil', '1 cucumber', '1 iceberg lettuce', '1 heaped teaspoon English mustard', '4 heaped tablespoons natural yoghurt', '1 tablespoon white wine vinegar', '40g feta cheese', '½ a bunch of fresh mint (15g)', '1 lemon']",https://www.jamieoliver.com/recipes/fish/sweet-potato-fishcakes/
30,Sweet & sour stir-fry,serves 2,21 mins,1,"['100g fine rice noodles', '1 x 227g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30g cashew nuts', '4 spring onions', '2 cloves of garlic', '2cm piece of ginger', '1 fresh red chilli', '200g sugarsnap peas', 'groundnut oil', '200g sprouts, such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']",https://www.jamieoliver.com/recipes/vegetables/sweet-and-sour-stir-fry/
31,Chicken goujons,serves 4,23 mins,3,"['6 wholemeal pittas', '4 x 120g free-range skinless chicken breasts', '1 bunch of fresh basil (30g)', '1 large free-range egg', '2 cloves of garlic', '20g Parmesan cheese', '1 lemon', '4 heaped tablespoons Greek yoghurt', '1 ripe avocado', 'chipotle Tabasco sauce', 'extra virgin olive oil', '2 little gem lettuces', '320g ripe cherry tomatoes']",https://www.jamieoliver.com/recipes/chicken/chicken-goujons/
32,Simple cheese omelette,serves 1,10 mins,1,"['2 large eggs', 'olive oil', '10g Cheddar cheese']",https://www.jamieoliver.com/recipes/eggs/simple-cheese-omelette/
33,Veggie noodle stir-fry,serves 4,30 mins,1,"['200g thick flat rice noodles', '1 red onion', '2 cloves of garlic', '5cm piece of ginger', '½ a bunch of fresh coriander', '1 small head of broccoli', '1 red or yellow pepper', '350g firm tofu', '1 carrot', 'optional: ½ a fresh red chilli', '100g unsalted cashew nuts', 'vegetable oil', '100g mangetout', '100g baby spinach', '2 limes', 'sesame oil', 'low-salt soy sauce']",https://www.jamieoliver.com/recipes/vegetables/veggie-noodle-stir-fry/
34,Minestrone soup,serves 8,1 hr 20 mins,1,"['1 clove of garlic', '1 red onion', '2 carrots', '2 sticks of celery', '1 courgette', '1 small leek', '1 large potato', '1 x 400g tin of cannellini beans', '2 rashers of higher-welfare smoked streaky bacon', 'olive oil', '½ teaspoon dried oregano', '1 fresh bay leaf', '2 x 400g tins of plum tomatoes', '1 litre organic vegetable stock', '1 large handful of seasonal greens, such as savoy cabbage, curly kale, chard', '100g wholemeal pasta', 'optional: ½ a bunch of fresh basil', 'Parmesan cheese']",https://www.jamieoliver.com/recipes/vegetables/minestrone-soup/
35,Lamb & chickpea curry,serves 6,2 hrs 20 mins,1,"['olive oil', '300g diced lean lamb shoulder', '1 teaspoon mustard seeds', '½ teaspoon ground turmeric', '1 teaspoon chilli powder', '1 tablespoon Madras curry powder', '5cm piece of ginger', '4 cloves of garlic', '3 onions', '10 curry leaves', '2 x 400g tins of chickpeas', '1 organic vegetable stock cube', '1 x 400g tin of plum tomatoes', '½ x 400g tin of light coconut milk', '200g baby spinach', '1 bunch of fresh coriander']",https://www.jamieoliver.com/recipes/lamb/lamb-chickpea-curry/
36,Salmon & pesto-dressed veg,serves 4,30 mins,1,"['600g new potatoes', '200g fine green beans', '200g tenderstem broccoli', '4 x 120g salmon fillets, scaled and pin-boned, from sustainable sources', 'olive oil', '25g pine nuts', '½ a small clove of garlic', '50g fresh basil', 'extra virgin olive oil', '15g Parmesan cheese', '2 lemons']",https://www.jamieoliver.com/recipes/fish/salmon-pesto-dressed-veg/
37,Asparagus stir-fry,serves 4,-,3,"['350g firm tofu', '2 teaspoons groundnut oil', '2 tablespoons sesame seeds', '½ tablespoon cornflour', '2 tablespoons soy sauce', '1 tablespoon white wine vinegar', '1 clove of garlic', '1 fresh red chilli, plus extra to serve', '5cm piece of ginger', '320g asparagus', '150g beansprouts', 'optional: 200g rice noodles, to serve']",https://www.jamieoliver.com/recipes/vegetables/asparagus-stir-fry/
38,Spring chicken pie,serves 4,1 hr 35 mins,3,"['2 lemons', '500g Jersey Royals', '½ a bunch of fresh tarragon (15g)', '1 bunch of fresh flat-leaf parsley (30g)', '8 free-range chicken thighs, bone in, skin on, from sustainable sources', '6 cloves of garlic', 'olive oil', '50g unsalted butter', '2 tablespoons plain flour', '400ml organic chicken stock', '2 teaspoons Dijon mustard', '75g watercress', '5 sheets of filo pastry']",https://www.jamieoliver.com/recipes/chicken/spring-chicken-pie/
39,Mexican-inspired bowl,serves 6,1 hr,3,"['320g brown rice', '1 corn on the cob', '1 red onion', '2 cloves of garlic', '1 fresh jalapeño or green chilli', '1 small red pepper', '1 small yellow pepper', '1 bunch of fresh coriander (30g)', 'olive oil', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 stick of cinnamon', '1 x 400g tin of quality plum tomatoes', '1 ripe avocado', '2 limes', 'extra virgin olive oil', '1 x 400g tin of black beans', '½ teaspoon smoked paprika', 'natural yoghurt', 'hot chilli sauce', '6 wholemeal tortillas']",https://www.jamieoliver.com/recipes/rice/mexican-inspired-bowl/
40,Slow-cooked courgette & pine nut pasta,serves 2,40 mins,3,"['2 courgettes', '2 cloves of garlic', '3 sprigs of fresh basil', '2 tablespoon pine nuts', 'olive oil', '1 big pinch dried chilli flakes', '150g dried pasta, such as conchiglie, penne, rigatoni', '25g Parmesan cheese', '50g ricotta cheese']",https://www.jamieoliver.com/recipes/pasta/slow-cooked-courgette-and-pine-nut-pasta/
41,"Tomato, red wine & chorizo risotto",serves 4,40 mins,3,"['olive oil', '2\xa0shallots', '1\xa0clove of garlic', '80g higher-welfare chorizo', '½ a bunch of fresh flat leaf parsley (15g)', '750ml–1 litre organic chicken or vegetable stock', '1 x 400g tin of quality plum tomatoes', '300g risotto rice', '200ml red wine', '50g Parmesan cheese, plus extra to serve']",https://www.jamieoliver.com/recipes/pork/tomato-red-wine-chorizo-risotto/
42,Sardine spaghetti,serves 4,30 mins,3,"['2 large ripe tomatoes (200g total)', '1 x 120g tin of sardine fillets in olive oil', '200g baby spinach', '300g dried wholewheat spaghetti', '1 bulb of fennel', '2 lemons', '20g ricotta salata', '1 pinch of dried chilli flakes']",https://www.jamieoliver.com/recipes/pasta/sardine-spaghetti/
43,Sticky sesame prawns,serves 4,40 mins,3,"['2 carrots', '½ a cucumber', '100g snow peas', '200g tenderstem broccoli', '300g fine rice noodles', '3 limes', '2 tablespoons sesame seeds', 'vegetable oil', '16 large raw shell-on green banana king prawns, from sustainable sources', '2 spring onions', '1 fresh red chilli', '1 bunch of fresh coriander', '5cm piece of ginger', '3 cloves of garlic', '2 spring onions', '2 tablespoons hot chilli sauce', '200ml fresh cloudy apple juice', '2 tablespoons runny honey', '1 tablespoon sweet miso']",https://www.jamieoliver.com/recipes/seafood/sticky-sesame-prawns/
44,Super-simple chicken curry traybake,serves 6,1 hr 45 mins,3,"['1 x 1kg butternut pumpkin', '2 onions', '200g Solanato cherry tomatoes', '8 skinless boneless free-range chicken thighs', '300g brown basmati rice', '1 x 400g tin of light coconut milk', '1 lime', '1 fresh green chilli', '3 cloves of garlic', '5cm piece of ginger', '2 teaspoons cumin seeds', '2 teaspoons coriander seeds', '1 teaspoon turmeric', '2 teaspoons garam masala', '1 teaspoon chilli powder', 'vegetable oil', '½ a bunch of fresh coriander']",https://www.jamieoliver.com/recipes/chicken/super-simple-chicken-curry-traybake/
45,Rosemary & garlic lamb shoulder,serves 6 with leftovers,5 hrs,3,"['1 x 2kg lamb or hogget shoulder, bone-in', '1 bunch of fresh rosemary', '1 bulb of garlic', '2 teaspoons English mustard', 'olive oil', '6 red onions', '4 tablespoons balsamic vinegar', '1 tablespoon plain flour', 'optional: 1 splash of red wine', '400g carrots', '2 cloves of garlic', '400g floury potatoes', '400g parsnips', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/lamb/rosemary-garlic-lamb-shoulder/
46,Roasted salmon & veg traybake,serves 4,20 mins,3,"['400g baby potatoes', '200g green beans', '1 bunch of fresh basil', '200g ripe cherry tomatoes', '10 black olives (stone in)', 'olive oil', '4 x 120g salmon fillets, skin on, scaled, pin-boned, from sustainable sources', '1½ lemons', '½ a small clove of garlic', '½ teaspoon Dijon mustard', '4 tablespoons Greek yoghurt', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/fish/roasted-salmon-summer-veg-traybake/
47,Yellow split pea & aubergine stew,serves 4,1 hr 50 mins,3,"['1 pinch of saffron threads', '1 large onion', '4 tablespoons vegetable oil, plus extra for frying', '1 tablespoon tomato purée', '1 teaspoon ground cinnamon', '1 teaspoon ground turmeric', '1 teaspoon ground cumin', '1 x 400g tin of chopped tomatoes', '250g yellow split peas', '3 dried limes (see tip)', '1 large aubergine', '10g unsalted butter', '100g dried barberries (see tip)']",https://www.jamieoliver.com/recipes/vegetables/yellow-split-pea-aubergine-stew/
48,Chicken & spring green bun cha,serves 4,55 mins,3,"['100g frozen edamame beans', '1 stick of lemongrass', '5cm piece of ginger', '1 large fresh red chilli', '1½ tablespoons sesame oil', '1 tablespoon low-salt soy sauce', '2 tablespoons runny honey', '2 tablespoons hoisin sauce', '2 limes', '4 free-range skinless chicken thighs', '1 tablespoon rice wine vinegar', '1 x 225g packet of vermicelli', '2 large shallots', '2 spring onions', '½ a bunch of fresh Thai basil', '½ a bunch of fresh mint', '3 tablespoons vegetable oil', '200g baby spinach', '150g broad beans']",https://www.jamieoliver.com/recipes/chicken/chicken-spring-green-bun-cha/
49,Ghanaian goat shoko,serves 4,3 hrs 30 mins,3,"['2 medium onions', '4 cloves of garlic', '5cm piece of ginger', '1.5kg ripe plum tomatoes or 1 x 400g tin of plum tomatoes', 'rapeseed or vegetable oil', '4 fresh Serrano chillies', '1 green pepper', '450g higher-welfare boneless goat shoulder, cubed', 'optional: 1 pierced Scotch bonnet', '150ml organic bone broth or beef stock', '150g baby spinach', '3 sprigs of fresh coriander']",https://www.jamieoliver.com/recipes/game/ghanaian-goat-shoko/
50,Chichinga: suya goat kebabs,serves 4,25 mins plus marinating,3,"['450g higher-welfare boneless leg of kid goat, diced', '1 large red onion', '1-2 red, green or yellow peppers (mixed colours if possible)', 'groundnut or vegetable oil', 'a few sprigs of fresh coriander', '125g roasted peanuts', '3 cloves of garlic', '5cm piece of ginger', '1 teaspoon cayenne pepper or red chilli flakes (for extra heat)', '1 teaspoon smoked paprika', '2 tablespoons groundnut or vegetable oil']",https://www.jamieoliver.com/recipes/game/chichinga-suya-goat-kebabs/
51,Goat ragù,serves 4,3 hrs,3,"['2 onions', '3 cloves of garlic', '3 sprigs of fresh rosemary', '10 large ripe plum tomatoes or 1 x 400g tin of plum tomatoes', '1 tablespoon rice bran oil', '3 fresh bay leaves', '1 tablespoon red chilli flakes', '1 teaspoon ground nutmeg', '1 teaspoon dried oregano or mixed herbs', '1 teaspoon sugar', '450g higher-welfare leg of kid goat, diced (ask your butcher to do this)', '150ml red wine', '2 tablespoons tomato purée', '175ml organic beef stock', '2 carrots', '2 heads of broccoli', '2 cloves of garlic', '25g butter', 'a few sprigs of fresh basil']",https://www.jamieoliver.com/recipes/game/goat-ragu/
52,Salmon with rhubarb sauce & tarragon mayo,serves 10,1 hr plus cooling,5,"['1 x 2.5kg whole salmon, gutted, scaled, from sustainable sources', '1 onion', '2 carrots', '2 sticks of celery', '3 fresh bay leaves', '1 tablespoon black peppercorns', '1 tablespoon pink peppercorns', 'a few sprigs each of fresh flat-leaf parsley, tarragon, chervil and mint', '2 small red onions', '4 tablespoons red wine vinegar', '5 sticks of forced rhubarb', '1 small eating apple', '2 tablespoons runny honey', '1 fresh bay leaf', '3 whole cloves', '1 splash of red wine vinegar', '1 orange', '200g fresh tarragon', '300ml oil (a mixture of olive and vegetable oil works best)', '2 large free-range egg yolks', '1 heaped teaspoon Dijon mustard', '1–2 tablespoons white wine vinegar', '½ a lemon']",https://www.jamieoliver.com/recipes/fish/salmon-with-rhubarb-sauce-tarragon-mayo/
53,Pork & black beans,serves 4,25 mins,3,"['2 tablespoons shaoxing rice wine', '1 tablespoon sesame oil', '2 teaspoons cornflour', '3 tablespoons low-salt soy sauce', '400g higher-welfare pork fillet', '½ a bunch of spring onions', '2 green peppers', '5 cloves of garlic', '1 long fresh red chilli', '5cm piece of ginger', '2 tablespoons groundnut oil', '1 tablespoon Asian chilli oil', 'optional: 1 teaspoon dried chilli flakes', '1 teaspoon soft brown sugar', '2 tablespoon Asian fermented black beans (see tip)', '1 tablespoon sesame seeds']",https://www.jamieoliver.com/recipes/pork/pork-black-beans/
54,Bean curd with Lau’s spicy Ma Po sauce,serves 4,1 hr 10 mins,5,"['200g higher-welfare minced pork', '2 medium dried shiitake mushrooms', '2 cloves of garlic', '1cm piece of ginger', '20g sichuan preserved vegetable (see tip)', '2 tablespoons vegetable oil', '1 tablespoon shaoxing wine', '180ml chicken stock or water', '½ tablespoon oyster sauce', '½ a spring onion', '1 tablespoon vegetable oil', '1 teaspoon potato flour or cornflour', '1 pinch of sugar', '500g bean curd', '1 teaspoon sugar', '1 teaspoon dark soy sauce', '1 tablespoon cornflour', '6 dried red chillies', '2 tablespoons black beans', '1 large red pepper', '6 tablespoons vegetable oil', '1 teaspoon dried red peppercorns or sichuan peppercorns', '5 cloves of garlic', '½ a small onion', '6 fresh Bird’s eye chillies', '1 tablespoon dried shallot', '3 tablespoons ground bean paste', '2 tablespoons oyster sauce', '3 tablespoons sugar']",https://www.jamieoliver.com/recipes/pork/bean-curd-with-lau-s-spicy-ma-po-sauce/
